layer,effective_rank
0,162.28692626953125
1,178.1571044921875
2,169.2221221923828
3,179.55381774902344
4,184.82887268066406
5,186.91941833496094
6,184.05975341796875
7,176.45545959472656
8,181.30970764160156
9,185.74905395507812
10,182.35145568847656
11,176.00059509277344
12,174.52731323242188
13,173.32369995117188
14,174.75497436523438
15,172.3641815185547
16,166.28468322753906
17,169.6177215576172
18,168.8090057373047
19,166.30474853515625
20,163.56265258789062
21,163.36793518066406
22,168.33709716796875
23,173.85650634765625
24,179.23704528808594
25,180.7112274169922
26,184.39024353027344
27,185.06619262695312
28,134.341552734375
