layer,alpha_A_given_U,alpha_A_given_U_lo,alpha_A_given_U_hi,alpha_U_given_A,alpha_U_given_A_lo,alpha_U_given_A_hi,cos_R_vs_tau_A,cos_R_vs_tau_A_lo,cos_R_vs_tau_A_hi,cos_R_vs_tau_U,cos_R_vs_tau_U_lo,cos_R_vs_tau_U_hi,ncf,ncf_lo,ncf_hi
0,1.0606542794562217,1.0206323921680451,1.0976622134447098,0.958469518570459,0.8183407008647918,1.1043002367019652,0.20467453256373547,0.06655194964259863,0.28640609458088867,-0.02466602874296512,-0.09748652894049883,0.05752124227583408,0.958012008974773,0.9164807215332985,0.9937245860695839
1,1.0797763123906383,1.0488273471593856,1.1095056802034378,0.7287456568909412,0.6242836490273476,0.8380078703165053,0.32705984865921983,0.1964693833142519,0.3953106559813022,-0.20438957934155372,-0.2520627021789551,-0.11723614223301411,0.8637662708585079,0.812440787255764,0.9409396082162856
2,1.084680171848762,1.0531371474266051,1.1150374829769134,0.6301718891028733,0.5076976656913758,0.7515900552272795,0.37428028046288786,0.23215475603938102,0.44846926927566516,-0.2699298340932746,-0.31322721764445305,-0.17896248027682307,0.8100297977139245,0.7509826302528382,0.9087728291749954
3,1.0829079272548996,1.053094705939293,1.1110780030488967,0.6742622875269135,0.5626510038971901,0.786329001188278,0.375518460710316,0.23513469621539115,0.44400283694267273,-0.25310212163024437,-0.30055742189288137,-0.16135576479136962,0.8112483296547456,0.7570288419723511,0.9096447497606277
4,1.0864238595840683,1.0571742057800293,1.1140726417303086,0.7760776028504273,0.6705134123563766,0.8854426831007004,0.3765999152577577,0.24234884306788446,0.43981602862477304,-0.17358107865040454,-0.23072325251996517,-0.08596910182386645,0.8333735763505052,0.7808194518089294,0.9234599217772482
5,1.076467221945032,1.0473622590303422,1.1028509259223938,0.8325163592093537,0.7346179038286209,0.9296905592083929,0.347954380386428,0.20796941593289375,0.4184966556727886,-0.14639309483286744,-0.2092048406600952,-0.057759487256407754,0.8530753717429089,0.7990761727094651,0.93594830930233
6,1.0757082912779943,1.0467042177915573,1.1027969598770142,0.7973417454683974,0.6981287002563477,0.8976868852972983,0.34147218007893165,0.2034665249288082,0.4148653797805309,-0.18135697412377474,-0.24481084682047366,-0.08720645885914569,0.8437376655554399,0.7881569772958755,0.9277623176574706
7,1.0813722597947732,1.052697703242302,1.108583575487137,0.8473388093333362,0.745997604727745,0.946353134512901,0.38025097405207475,0.2398460168391466,0.45120552480220794,-0.13681670225753081,-0.2080386683344841,-0.04479767521843324,0.8251414947238782,0.7684206038713455,0.9185851514339447
8,1.0730965218662587,1.0460452437400818,1.0985125422477722,0.9585161907908022,0.8651733160018921,1.0529796451330184,0.34182600130324065,0.20882536396384238,0.41574392989277836,-0.03953845575911709,-0.11667518969625235,0.047555539291352,0.8754076870338012,0.8195809498429298,0.9501996830105781
9,1.069452292432183,1.044111469388008,1.0944294452667236,1.0065222283383979,0.9169886112213135,1.0983262002468108,0.3165956353611167,0.19361584670841694,0.38719062954187383,0.0063792561756283485,-0.07499764412641526,0.09005457181483505,0.8974648589363032,0.8455042764544487,0.9603419870138168
10,1.0610489491059514,1.0363112658262252,1.0859331279993056,1.075056042421433,0.9874025031924247,1.1632575392723083,0.28979621421993323,0.1619054540991783,0.36896597668528547,0.07819202135230575,-0.01227533146739006,0.15854926742613315,0.9155618681158566,0.8607046931982041,0.9719209417700767
11,1.0627304646653113,1.0383111089468002,1.0868017554283143,1.1142373014606861,1.0290997892618179,1.1985154002904892,0.28410584651715953,0.1675636425614357,0.3639184296131133,0.12433308489944515,0.029924198053777218,0.2027884658426046,0.9150123416514349,0.8621577635407448,0.9671972557902336
12,1.0655337023566844,1.0409850299358367,1.0898682177066803,1.1084291194062095,1.0193070828914643,1.1951484024524688,0.29895396589558,0.1794067196547985,0.3789857767522335,0.11528857208696267,0.0192154907155782,0.1936009585857391,0.908717958630858,0.8505190312862396,0.9653215587139129
13,1.0681814083009649,1.044611033797264,1.0927151918411255,1.1204596569739087,1.0331487476825714,1.2087405890226364,0.3050413546186113,0.1918086763471365,0.3837232574820518,0.12912536659421525,0.03371731070801616,0.20935740247368811,0.9044182187271491,0.848527891933918,0.9601397067308426
14,1.0741801564683358,1.050356811285019,1.098049309849739,1.1260356662932456,1.0404491543769836,1.2116986989974976,0.32487372552506877,0.21293450519442558,0.39677723795175546,0.1373732735965972,0.04179186671972275,0.21509636975824817,0.8916845585836134,0.8367523342370987,0.9513336732983589
15,1.0470376389663727,1.0243914633989335,1.0689330011606217,1.1000605073491223,1.0238089263439178,1.1731408387422562,0.21595784135939164,0.10856250934302807,0.2943742781877517,0.1164559120048894,0.02586151366122067,0.192687239870429,0.9486709210369443,0.9046372309327125,0.9847872480750084
16,1.0466005906813953,1.0253533363342284,1.0669603258371354,1.0510793470336979,0.9786542728543282,1.1204544007778168,0.22193079181760572,0.1176791051402688,0.29956598579883575,0.06254835243246573,-0.02460103901103139,0.1411445040255785,0.9507449603256226,0.9094071522355079,0.984888969361782
17,1.0522751026867043,1.030488282442093,1.0735562890768051,1.0790699685816836,1.004839864373207,1.1488317579030989,0.23785995730373308,0.1352767910808325,0.314253256469965,0.09554694345378587,0.005971393827348948,0.17186734154820435,0.9428855273366191,0.8989777997136116,0.9802634850144386
18,1.057083199620018,1.03595632314682,1.0778201252222062,1.0764387602636676,1.0023949831724166,1.1460125237703322,0.2540928468037803,0.15419144779443741,0.32751214131712914,0.08989604092550914,0.0027863285213243225,0.16529595628380775,0.9353690798741693,0.8900368258357048,0.9752178579568863
19,1.0581708438007917,1.0377038449048996,1.0778916418552398,1.0865588780219437,1.0219453871250153,1.147246244549751,0.2387000160859417,0.1521193090826273,0.3044801160693168,0.0992200633879192,0.024640993494540454,0.16346870511770248,0.9427088818458815,0.9048272252082825,0.9762216731905937
