layer,residue_norm,ai_norm,user_norm,joint_norm
0,0.021649398,0.01566605,0.08221726,0.089068964
1,0.3530138,0.29529503,1.5623577,1.7448694
2,0.4996312,0.40972304,2.3697696,2.6459622
3,0.63216674,0.57881075,3.0905628,3.4189656
4,0.8712308,0.771036,4.192334,4.6212335
5,1.0402582,1.0239625,5.140714,5.69144
6,1.1335312,1.1134808,5.522359,6.1120377
7,1.3496977,1.3615897,6.7981334,7.5752516
8,1.7949368,1.8510439,8.869264,9.910827
9,2.02194,2.1930254,9.753104,10.977048
10,2.143403,2.4144483,10.699196,12.066592
11,2.2958572,2.7106395,11.255471,12.764456
12,2.3548615,2.782733,11.730745,13.397387
13,2.454741,2.934529,12.060963,13.921268
14,2.6357934,3.1925433,12.657646,14.8202715
15,3.0259702,3.714659,13.9984665,15.705649
16,3.3408487,4.179839,15.975506,17.811796
17,3.5019734,4.2745366,16.380402,18.413698
18,3.817811,4.58954,17.907722,20.161783
19,4.8219986,5.5586414,21.129578,24.001204
20,7.307121,9.122902,31.920958,34.897408
21,9.469539,11.250039,39.79291,43.23118
22,11.523196,13.023458,46.468166,50.338623
23,13.814198,15.65935,55.431004,59.844257
24,16.498827,18.500416,67.7589,72.82283
25,19.300066,21.891268,79.24125,86.12685
26,22.286701,24.916584,90.736755,99.50673
27,25.572361,29.283766,103.76798,116.14272
28,23.217325,28.821169,132.18869,140.9876
