layer,proj_user,neg_norm_user,proj_ai,neg_norm_ai
0,0.0037330107,-0.08221726,-0.007001464,-0.01566605
1,0.07579731,-1.5623577,-0.05918788,-0.29529503
2,0.13790192,-2.3697696,-0.09521363,-0.40972304
3,0.15437363,-3.0905628,-0.1698315,-0.57881075
4,0.19360122,-4.192334,-0.22601324,-0.771036
5,0.22579388,-5.140714,-0.29021832,-1.0239625
6,0.25496763,-5.522359,-0.3449639,-1.1134808
7,0.29156017,-6.7981334,-0.36244488,-1.3615897
8,0.35034233,-8.869264,-0.4197809,-1.8510439
9,0.35024652,-9.753104,-0.4816253,-2.1930254
10,0.33639044,-10.699196,-0.46975926,-2.4144483
11,0.34408894,-11.255471,-0.4448061,-2.7106395
12,0.38917762,-11.730745,-0.4515672,-2.782733
13,0.45536637,-12.060963,-0.3822665,-2.934529
14,0.5812167,-12.657646,-0.2647337,-3.1925433
15,0.11638311,-13.9984665,-0.4098598,-3.714659
16,-0.047326636,-15.975506,-0.82312155,-4.179839
17,0.06431213,-16.380402,-0.8079696,-4.2745366
18,0.055277895,-17.907722,-0.9688858,-4.58954
19,0.017368602,-21.129578,-1.1887933,-5.5586414
20,-0.69813216,-30.206257,-2.7461092,-7.4837456
21,-1.0187216,-37.171413,-3.408465,-8.882068
22,-1.2393671,-43.815517,-3.7955875,-10.355809
23,-1.3039974,-52.405025,-4.076655,-12.445298
24,-1.9640236,-64.05698,-5.3384604,-14.928453
25,-1.9894214,-74.81349,-5.702321,-17.59068
26,-1.5711868,-85.58149,-6.164133,-19.956512
27,-0.96597326,-97.972855,-5.4516935,-23.524746
28,-0.36195725,-125.98288,-4.825453,-23.45326
